sID,borough,type,siteCode,siteName,classification,easting,northing,latitude,longitude,pollutants,distance_to_exposute,distance_to_kerb,height,linked,startDate
RBL362,Richmond upon Thames,BL,CLDP0362,Kew Gardens,Urban Background,518539,177259,51.481876,-0.294325,"NO2, PM25, PM10",N/A,N/A,N/A,,04-Nov-22
RBL429,Richmond upon Thames,BL,CLDP0429,"Nelson Primary School, Nelson Rd TW2",Roadside,513927,173928,51.452881,-0.361776,"NO2, PM25, PM10",N/A,N/A,N/A,,03-Jan-23
RBL430,Richmond upon Thames,BL,CLDP0430,"The Vineyard Schl, Friars Stile Rd, TW10 6NE",Roadside,518354,174236,51.454739,-0.29799,"NO2, PM25, PM10",N/A,N/A,N/A,,05-Jan-23
RBL431,Richmond upon Thames,BL,CLDP0431,"Thomson House Sch, Sheen Lane, SW14",Roadside,520508,175798,51.468327,-0.266484,"NO2, PM25, PM10",N/A,N/A,N/A,,05-Jan-23
RBL432,Richmond upon Thames,BL,CLDP0432,"St Richards CE Prim Schl, Ashburnham Rd, TW10 7NL",Roadside,516945,172124,51.436054,-0.318958,"NO2, PM25, PM10",N/A,N/A,N/A,,05-Jan-23
RBL433,Richmond upon Thames,BL,CLDP0433,"Twickenham Primary Academy, Heathgate House, 2-4 The Green Twickenham TW2 6QF",Roadside,515453,173060,51.444771,-0.340107,"NO2, PM25, PM10",N/A,N/A,N/A,,05-Jan-23
RBL434,Richmond upon Thames,BL,CLDP0434,"Archdeacon Cambridge's CofE Prim Sch, The Green, Twickenham TW2 5TU",Roadside,515293,172836,51.442791,-0.34248,"NO2, PM25, PM10",N/A,N/A,N/A,,05-Jan-23
RBL435,Richmond upon Thames,BL,CLDP0435,"Hampton Hill Jnrs, St James's Ave, Hampton Hill TW12",Roadside,514075,171109,51.427513,-0.360565,"NO2, PM25, PM10",N/A,N/A,N/A,,05-Jan-23
RBL436,Richmond upon Thames,BL,CLDP0436,"Chase Bridge Primary School, Kneller Rd, TW2",Roadside,515074,174049,51.453739,-0.345241,"NO2, PM25, PM10",N/A,N/A,N/A,,05-Jan-23
RBL437,Richmond upon Thames,BL,CLDP0437,"Richmond bus garage, Wakefield Rd, Richmond",Roadside,517914,174738,51.459351,-0.304159,"NO2, PM25, PM10",N/A,N/A,N/A,,05-Jan-23
RBL577,Richmond upon Thames,BL,CLDP0577,"Holy Trinity CE Prim Sch, Carrington Rd, TW10 5AA",Roadside,519181,175201,51.463245,-0.285771,"NO2, PM25, PM10",N/A,N/A,N/A,,25-Apr-24
MDT001,Merton,DT,1,Bushey Road,,523139,169056,51.40717,-0.23096145,NO2,,,,,
MDT002,Merton,DT,2,Stonecot Hill,,524489,166637,51.385135,-0.21240963,NO2,,,,,
MDT003,Merton,DT,3,A24 Jct Tudor Drive,,524137,166122,51.380584,-0.21764526,NO2,,,,,
MDT004,Merton,DT,4,154 Grand Drive,,523315,168048,51.398072,-0.22878234,NO2,,,,,
MDT005,Merton,DT,5,Sacred Heart PS,,522501,168235,51.399929,-0.24041284,NO2,,,,,
MDT006,Merton,DT,6,17 Grand Drive,,523207,169195,51.408404,-0.22993605,NO2,,,,,
MDT007,Merton,DT,7,Kingston Road (A298),,524401,169351,51.409546,-0.21272314,NO2,,,,,
MDT008,Merton,DT,8,Coombe Lane,,523246,169333,51.409636,-0.22932769,NO2,,,,,
MDT009,Merton,DT,9,Lambton Road,,523203,169369,51.409969,-0.22993314,NO2,,,,,
MDT011,Merton,DT,11,Kingston Road,,525602,170042,51.415491,-0.19521952,NO2,,,,,
MDT012,Merton,DT,12,"Pepys Road 
Morden ",,523357,169534,51.411418,-0.22766267,NO2,,,,,
MDT013,Merton,DT,13,Cottenham Park Road ,,523190,170215,51.417575,-0.2298263,NO2,,,,,
MDT014,Merton,DT,14,20 The Ridgeway,,524111,170879,51.423342,-0.21635622,NO2,,,,,
MDT016,Merton,DT,16,84 High Street,,524067,171074,51.425104,-0.21692051,NO2,,,,,
MDT017,Merton,DT,17,Woodside Wimbledon,,524608,170873,51.423179,-0.20921394,NO2,,,,,
MDT018,Merton,DT,18,25-27 Wimbledon Hill,,524696,170725,51.421829,-0.20800097,NO2,,,,,
MDT019,Merton,DT,19,Wimbledon Station,,524770,170645,51.421094,-0.20696539,NO2,,,,,
MDT020,Merton,DT,20,Hartfield Road,,524867,170500,51.41977,-0.20562213,NO2,,,,,
MDT021,Merton,DT,21,246 Merton Road,,525798,170081,51.415798,-0.1923887,NO2,,,,,
MDT022,Merton,DT,22,12-16 Upper Green West,,527756,168993,51.405583,-0.16463927,NO2,,,,,
MDT023,Merton,DT,23,183 Kingston Road,,525156,169935,51.414628,-0.20166738,NO2,,,,,
MDT024,Merton,DT,24,75 Hartfield Road,,524994,170329,51.418205,-0.20385689,NO2,,,,,
MDT025,Merton,DT,25,Alexandra Road,,525112,171139,51.425459,-0.20187515,NO2,,,,,
MDT026,Merton,DT,26,Gap Road,,525708,171413,51.427789,-0.19321019,NO2,,,,,
MDT027,Merton,DT,27,Plough Lane,,526035,171472,51.428247,-0.18848819,NO2,,,,,
MDT028,Merton,DT,28,11 Haydons Road,,526158,170167,51.416491,-0.18718403,NO2,,,,,
MDT029,Merton,DT,29,44 High Street,,526792,170376,51.418228,-0.1779971,NO2,,,,,
MDT030,Merton,DT,30,Christchurch Road,,526791,170087,51.415631,-0.17811474,NO2,,,,,
MDT031,Merton,DT,31,Alley Charminster Avenue,,525452,169137,51.407391,-0.19769525,NO2,,,,,
MDT032,Merton,DT,32,Merantun Way,,526138,169825,51.413422,-0.18759305,NO2,,,,,
MDT033,Merton,DT,33,Morden Road,,525803,169467,51.410279,-0.19253448,NO2,,,,,
MDT034,Merton,DT,34,Western Road,,526840,169694,51.412089,-0.17755096,NO2,,,,,
MDT035,Merton,DT,35,Lavender Avenue,,527621,169646,51.411482,-0.16634434,NO2,,,,,
MDT036,Merton,DT,36,35 London Road,,527915,170518,51.419253,-0.16180496,NO2,,,,,
MDT037,Merton,DT,37,107 London Road,,527935,169502,51.410117,-0.16188377,NO2,,,,,
MDT038,Merton,DT,38,265 London Road,,527738,168863,51.404419,-0.16494468,NO2,,,,,
MDT039,Merton,DT,39,Church Road,,527158,168646,51.402599,-0.17335628,NO2,,,,,
MDT040,Merton,DT,40,London Road (A217),,527370,168312,51.39955,-0.17043,NO2,,,,,
MDT041,Merton,DT,41,Morden Road (A239),,526395,168172,51.398509,-0.18448797,NO2,,,,,
MDT042,Merton,DT,42,St Helier Avenue,,526210,167683,51.394156,-0.1873196,NO2,,,,,
MDT043,Merton,DT,43,Morden Hall Road,,526151,168293,51.399651,-0.18795056,NO2,,,,,
MDT044,Merton,DT,44,31 London Road,,525817,168643,51.402871,-0.19262529,NO2,,,,,
MDT045,Merton,DT,45,HSBC,,525611,168446,51.401146,-0.19565488,NO2,,,,,
MDT046,Merton,DT,46,11 Crown Lane,,525435,168499,51.401661,-0.19816492,NO2,,,,,
MDT471,Merton,DT,47/1,Civic Centre,,525588,168498,51.401618,-0.19596695,NO2,,,,,
MDT472,Merton,DT,47/2,Civic Centre,,525588,168498,51.401618,-0.19596695,NO2,,,,,
MDT473,Merton,DT,47/3,Civic Centre,,525588,168498,51.401618,-0.19596695,NO2,,,,,
MDT048,Merton,DT,48,Aberconway Road,,525757,168509,51.40168,-0.19353485,NO2,,,,,
MDT049,Merton,DT,49,Crown Road Junction,,525500,168470,51.401386,-0.19724124,NO2,,,,,
MDT050,Merton,DT,50,Martin Way,,525638,168616,51.402668,-0.1952068,NO2,,,,,
MDT051,Merton,DT,51,Streatham Road,,528219,169782,51.41257,-0.15770142,NO2,,,,,
MDT052,Merton,DT,52,West Barnes Lane,,522749,168500,51.402257,-0.23675801,NO2,,,,,
MDT053,Merton,DT,53,139 Epsom Road,,524621,166786,51.386445,-0.21046147,NO2,,,,,
MDT054,Merton,DT,54,43 Upper Green East,,527890,168920,51.404897,-0.1627401,NO2,,,,,
MDT055,Merton,DT,55,213 Manor Road,,529661,168839,51.403767,-0.13732273,NO2,,,,,
MDT056,Merton,DT,56,1 Weir Road,,525875,171682,51.43017,-0.19071386,NO2,,,,,
MDT057,Merton,DT,57,363 Durnsford Road,,525396,172558,51.438149,-0.19729058,NO2,,,,,
MDTS01,Merton,DT,S01,Merton Abbey PS,,525941,169866,51.413835,-0.19040973,NO2,,,,,
MDTS4B,Merton,DT,S4B,All Saints PS,,526136,170328,51.417943,-0.18744299,NO2,,,,,
MDTS12,Merton,DT,S12,St Peter & St Paul PS,,527639,168362,51.399939,-0.16654725,NO2,,,,,
MDTS36,Merton,DT,S36B,Park Community School,,525815,169235,51.408192,-0.19244425,NO2,,,,,
MDTS49,Merton,DT,S49B,Raynes Park High School,,522509,168640,51.403567,-0.24015819,NO2,,,,,
MDTS51,Merton,DT,S51,Morden Primary School,,525093,167325,51.391186,-0.20349223,NO2,,,,,
MDTS63,Merton,DT,S63,Wimbledon High School,,524505,170891,51.423363,-0.21068824,NO2,,,,,
MDTS67,Merton,DT,S67,Rise Education,,527552,169099,51.406582,-0.16753248,NO2,,,,,
MDTS68,Merton,DT,S68,Eagle House,,527831,169253,51.407903,-0.16346797,NO2,,,,,
MDTS69,Merton,DT,S69,Just Learn,,527947,168855,51.4043,-0.1619445,NO2,,,,,
WDTW23,Wandsworth,DT,W23,37 West Hill,,525111,174619,51.456734,-0.20066079,NO2,,,,,
WDTW24,Wandsworth,DT,W24,Putney Sign (MacDonald's),,524045,175366,51.463682,-0.21573396,NO2,,,,,
WDTW21,Wandsworth,DT,W21,Felsham Rd (tube 1),,524044,175495,51.464841,-0.21570313,NO2,,,,,
WDTW22,Wandsworth,DT,W22,Felsham Rd (tube 2),,524044,175495,51.464841,-0.21570313,NO2,,,,,
WDTW06,Wandsworth,DT,W6,21 Daylesford Avenue,,522270,175307,51.463537,-0.24129285,NO2,,,,,
WDTW25,Wandsworth,DT,W25,Roehampton Church School (on corner of Roehampton Lane),,522542,173282,51.445279,-0.2380802,NO2,,,,,
WDTW26,Wandsworth,DT,W26,Replingham Road (corner of Heythrope street),,524847,173282,51.444776,-0.20492989,NO2,,,,,
WDTW27,Wandsworth,DT,W27,68-70 Sutherland Grove (opposite St. Cecilia's School),,524847,173282,51.444776,-0.20492989,NO2,,,,,
WDTW28,Wandsworth,DT,W28,61 Summerley Street,,526011,172869,51.440807,-0.18833659,NO2,,,,,
WDTW29,Wandsworth,DT,W29,Junction Skelbrook Street / Garratt Lane,,526099,172833,51.440464,-0.18708394,NO2,,,,,
WDTW04,Wandsworth,DT,W4,108 Mitcham Road,,527688,171204,51.425469,-0.16482077,NO2,,,,,
WDTW08,Wandsworth,DT,W8,50 Bickely Street,,527524,171239,51.42582,-0.16716574,NO2,,,,,
WDTW30,Wandsworth,DT,W30,11b Elmbourne Road,,528900,172431,51.436221,-0.14695192,NO2,,,,,
WDTW31,Wandsworth,DT,W31,Junction Hildreth Street /  Bedford Hill,,528607,173333,51.444394,-0.15083747,NO2,,,,,
WDTW32,Wandsworth,DT,W32,2-3 Balham High Road,,528436,173133,51.442636,-0.15336915,NO2,,,,,
WDTW34,Wandsworth,DT,W34,46 Shelgate Road,,527569,174986,51.459484,-0.1651697,NO2,,,,,
WDTW35,Wandsworth,DT,W35,47 Northcote Road,,527487,174981,51.459458,-0.16635116,NO2,,,,,
WDTW36,Wandsworth,DT,W36,208 St Anne's Hill (opposite St Anne's School),,525875,174616,51.456538,-0.18967144,NO2,,,,,
WDTW37,Wandsworth,DT,W37,302A Merton Rd (Riversdale School Gate),,525278,173483,51.446488,-0.19866031,NO2,,,,,
WDTW38,Wandsworth,DT,W38,"High View School, Plough Terrace, No Stopping Sign o/s school",,526863,175239,51.461916,-0.17523558,NO2,,,,,
WDTNE2,Wandsworth,DT,NE2,Chesterton School,,528043,176618,51.474044,-0.15776013,NO2,,,,,
WDTNE3,Wandsworth,DT,NE3,Queenstown Road,,528771,176819,51.475685,-0.14721069,NO2,,,,,
WDTNE4,Wandsworth,DT,NE4,16 Lockington road,,528871,176943,51.476777,-0.1457264,NO2,,,,,
WDTNE5,Wandsworth,DT,NE5,Kirtling Street,,529265,177353,51.480371,-0.13990635,NO2,,,,,
WDTNE6,Wandsworth,DT,NE6,Nine Elms Lane,,529413,177486,51.481533,-0.13772759,NO2,,,,,
WDTNE7,Wandsworth,DT,NE7,"1 Nine Elms, Parry Street",,530129,177727,51.483534,-0.12733373,NO2,,,,,
WDTNE8,Wandsworth,DT,NE8,Battersea park (new location),,528023,177176,51.479063,-0.15784592,NO2,,,,,
WDTYR1,Wandsworth,DT,YR1,Trafalgar House,,526201,175340,51.462972,-0.18472371,NO2,,,,,
WDTYR2,Wandsworth,DT,YR2,Royal Academy of Dance,,526581,175731,51.466401,-0.17911669,NO2,,,,,
WDTYR3,Wandsworth,DT,YR3,Cotton Row,,526480,175930,51.468212,-0.18049877,NO2,,,,,
WDTYR4,Wandsworth,DT,YR4,YR4 Falcon Road,,527086,176119,51.469775,-0.17171125,NO2,,,,,
WDTYR5,Wandsworth,DT,YR5,256 Battersea Park Road,,527109,176022,51.468898,-0.17141515,NO2,,,,,
WDTYR6,Wandsworth,DT,YR6,31-32 Battersea Square,,526817,176686,51.474931,-0.17537868,NO2,,,,,
WDTW39,Wandsworth,DT,W39,Carlton Dr/Putney Hill ,,523898,174717,51.457881,-0.21807615,NO2,,,,,
WDTW40,Wandsworth,DT,W40,Roehampton High St/Roehampton Ln ,,522343,173805,51.450023,-0.2407616,NO2,,,,,
WDTW41,Wandsworth,DT,W41,Northcote Rd/Broonwood Rd ,,527675,174339,51.453646,-0.16387812,NO2,,,,,
WDTW42,Wandsworth,DT,W42,Bellevue Rd/Trinity Road ,,527426,173249,51.443906,-0.16785195,NO2,,,,,
WDTW43,Wandsworth,DT,W43,Trinity Road (FCCFG) ,,526783,174250,51.453046,-0.17674074,NO2,,,,,
WDTW44,Wandsworth,DT,W44 ,Thessaly Rd (Marsh House) ,,529425,176920,51.476444,-0.13776207,NO2,,,,,
WDTW45,Wandsworth,DT,W45 , A24 Wimbledon Sewing Machines Lamppost ,,528096,172439,51.436476,-0.15850944,NO2,,,,,
WDTW46,Wandsworth,DT,W46 ,Trinity Road/Outside 128 ,,527639,172882,51.44056,-0.16492098,NO2,,,,,
WDTW47,Wandsworth,DT,W47 , Westhill School Lamppost West Hill Barber Shop ,,525243,174643,51.45692,-0.19875342,NO2,,,,,
WDTW48,Wandsworth,DT,W48 , Rutherford House School Outside School ,,528263,172735,51.439098,-0.15600107,NO2,,,,,
WDTW49,Wandsworth,DT,W49,Garratt Ln/ Earlsfield Rd,,525987,173077,51.442682,-0.18860776,NO2,,,,,
WDTW50,Wandsworth,DT,W50,Penwith Rd/Garratt Ln ,,525945,173083,51.442745,-0.18920963,NO2,,,,,
WDTW51,Wandsworth,DT,W51,Aldrington Road/North Drive,,529390,171787,51.430322,-0.14014151,NO2,,,,,
WDTW52,Wandsworth,DT,W52,Medfield Street,,522481,173792,51.449876,-0.23878116,NO2,,,,,
WDTW53,Wandsworth,DT,W53,Smeaton Rd/Merton Road,,525213,173701,51.448461,-0.19951809,NO2,,,,,
WDTW54,Wandsworth,DT,W54,Roehampton Ln/Medfield St,,522382,173779,51.449781,-0.24020962,NO2,,,,,
WDTW55,Wandsworth,DT,W55,Burntwood ln (Beechcroft Road),,527218,173043,51.442101,-0.1709172,NO2,,,,,
WDTW56,Wandsworth,DT,W56,Boundaries Road,,528382,173270,51.443879,-0.15409606,NO2,,,,,
WDTSA1,Wandsworth,DT,SA1,Louiseville Road,,528160,172414,51.436236,-0.15759825,NO2,,,,,
WDTWH1,Wandsworth,DT,WH1,Roehampton Lane/ Upper Richmond road,,522078,175466,51.465008,-0.24400048,NO2,,,,,
WDTWH2,Wandsworth,DT,WH2,Priory Lane/ Upper Richmond Road,,521752,175435,51.464799,-0.24870176,NO2,,,,,
WDTWH3,Wandsworth,DT,WH3,Clarence Ln/Roehampton Ln,,522087,174262,51.454185,-0.24428626,NO2,,,,,
WDTBW1,Wandsworth,DT,BW1,Burntwood Ln (Tranmere/ Aboyne),,526503,172556,51.437885,-0.18137323,NO2,,,,,
WDTBW2,Wandsworth,DT,BW2,Burntwood Ln (Bridgfort / France Court),,526335,172395,51.436475,-0.18384636,NO2,,,,,
WDTLR1,Wandsworth,DT,LR1 ,Lower Richmond Road (In Wandsworth),,523563,175845,51.468092,-0.22250159,NO2,,,,,
RDT001,Richmond upon Thames,DT,1,"Hampton Court Rd, Hampton (nr Bushy Pk gates)",,515824,168815,51.406543,-0.336162,NO2,,,,,
RDT002,Richmond upon Thames,DT,2,"Percy Rd, Hampton (nr. level crossing/Waitrose)",,513217,169746,51.415437,-0.37333,NO2,,,,,
RDT004,Richmond upon Thames,DT,4,"Hampton Rd, Hampton Hill (nr. Laurel Dene)",,514607,171258,51.428748,-0.352862,NO2,,,,,
RDT007,Richmond upon Thames,DT,7,"Broad St, Teddington (o/s Boots)",,515695,170983,51.426055,-0.337309,NO2,,,,,
RDT009,Richmond upon Thames,DT,9,"Hampton Rd, Twickenham (nr Fifth Cross Rd)",,514846,172348,51.438496,-0.349073,NO2,,,,,
RDT010,Richmond upon Thames,DT,10,"Twickenham Rd, Twickenham (opp. Fulwell golf course)",,513390,172233,51.437755,-0.370048,NO2,,,,,
RDT011,Richmond upon Thames,DT,11,"Percy Rd, Whitton (nr. Percy Way)",,514136,173389,51.447996,-0.358948,NO2,,,,,
RDT012,Richmond upon Thames,DT,12,"Hanworth Rd, Whitton ( nr Lyndhurst Ave)",,512612,173439,51.44875,-0.380853,NO2,,,,,
RDT013,Richmond upon Thames,DT,13,"Whitton Rd, Whitton, (opp. rugby ground)",,515228,174082,51.454003,-0.343015,NO2,,,,,
RDT015,Richmond upon Thames,DT,15,"Richmond Rd, Twickenham (opp. Marble Hill Pk)",,517196,173933,51.452261,-0.314754,NO2,,,,,
RDT017,Richmond upon Thames,DT,17,"Red Lion Street, Richmond ",,517822,174755,51.459519,-0.305476,NO2,,,,,
RDT018,Richmond upon Thames,DT,18,"Lower Mortlake Rd, Richmond (nr Trinity Rd)",,518822,175590,51.466814,-0.290808,NO2,,,,,
RDT019,Richmond upon Thames,DT,19,"Kew Rd, Kew (nr. Walpole Av)",,518643,176156,51.471939,-0.293194,NO2,,,,,
RDT020,Richmond upon Thames,DT,20,"Mortlake Rd, Kew (nr. Kings Schl)",,519205,177221,51.481393,-0.284747,NO2,,,,,
RDT022,Richmond upon Thames,DT,22,"Castelnau, Barnes (nr. Hammersmith Bridge)",,522853,177908,51.486787,-0.232001,NO2,,,,,
RDT023,Richmond upon Thames,DT,23,"Castelnau Library, Barnes (static site)",,522502,177166,51.480194,-0.237311,NO2,,,,,
RDT025,Richmond upon Thames,DT,25,"URRW, (nr. East Sheen Primary Schl)",,521199,175460,51.465142,-0.25665,NO2,,,,,
RDT026,Richmond upon Thames,DT,26,"URRW, Sheen (nr. Courtland Estate)",,519168,175055,51.461933,-0.28601,NO2,,,,,
RDT028,Richmond upon Thames,DT,28,"Holly Lodge, Richmond Pk",,519445,173991,51.452312,-0.282383,NO2,,,,,
RDT030,Richmond upon Thames,DT,30,"Petershan Rd, nr The Russell Schl, TW10",,518022,173165,51.445187,-0.303128,NO2,,,,,
RDT031,Richmond upon Thames,DT,31,A316 (nr. Chudleigh Rd),,515434,174045,51.453629,-0.340064,NO2,,,,,
RDT032,Richmond upon Thames,DT,32,"Kings St, Twickenham ( nr Iceland)",,516226,173195,51.445827,-0.32895,NO2,,,,,
RDT033,Richmond upon Thames,DT,33,"Heath Rd, Twickenham (nr M&S)",,515934,173126,51.445267,-0.333172,NO2,,,,,
RDT035,Richmond upon Thames,DT,35,"High St, Hampton Wick",,517524,169583,51.413096,-0.311478,NO2,,,,,
RDT036,Richmond upon Thames,DT,36,"Upper Richmond Road West(URRW), nr j/w Sheen Lane",,520540,175399,51.464735,-0.266153,NO2,,,,,
RDT037,Richmond upon Thames,DT,37,"Wetlands, Barnes (static site)",,522993,176731,51.476179,-0.230395,NO2,,,,,
RDT039,Richmond upon Thames,DT,39,"Richmond Rd, nr Lidl, East Twickenham",,517516,174331,51.455771,-0.310019,NO2,,,,,
RDT040,Richmond upon Thames,DT,40,"Staines Rd, Twickenham",,514068,172435,51.439435,-0.360233,NO2,,,,,
RDT042,Richmond upon Thames,DT,42,"The Quadrant/Kew Rd, Richmond",,518080,175259,51.463995,-0.301596,NO2,,,,,
RDT043,Richmond upon Thames,DT,43,"Hill St, Richmond",,517759,174757,51.45955,-0.306381,NO2,,,,,
RDT044,Richmond upon Thames,DT,44,"Sheen Rd, Richmond (near shops)",,518489,175056,51.462085,-0.295779,NO2,,,,,
RDT045,Richmond upon Thames,DT,45,"High St, Teddington, (nr Cook) ",,516383,171154,51.427451,-0.327362,NO2,,,,,
RDT050,Richmond upon Thames,DT,50,"URRW, nr. Clifford Av, Sheen",,519922,175324,51.464192,-0.27507,NO2,,,,,
RDT051,Richmond upon Thames,DT,51,"Sheen Lane, Sheen (nr Thomson Hse Schl) ",,520492,175695,51.467405,-0.266743,NO2,,,,,
RDT052,Richmond upon Thames,DT,52,"Clifford Av, nr Chalkers Corner",,519773,175795,51.468457,-0.277055,NO2,,,,,
RDT054,Richmond upon Thames,DT,54,"Mortlake Road, adjacent to West Hall Road, Kew",,519585,176492,51.474761,-0.279524,NO2,,,,,
RDT055,Richmond upon Thames,DT,55,"Mortlake Road, adj Cemetery Gates, ",,519793,176142,51.471571,-0.276649,NO2,,,,,
RDT056,Richmond upon Thames,DT,56,"A316 (St Magarets, nr Cassillis Rd)",,516788,174519,51.457612,-0.32043,NO2,,,,,
RDT057,Richmond upon Thames,DT,57,A316 (nr Lincoln Avenue),,513915,172899,51.443636,-0.362284,NO2,,,,,
RDT058,Richmond upon Thames,DT,58,"London Road, Twickenham(nr Twickenham bridge) ",,516039,173766,51.450998,-0.331452,NO2,,,,,
RDT062,Richmond upon Thames,DT,62,"High Street, Barnes (nr Cook)",,521651,176430,51.473763,-0.249813,NO2,,,,,
RDT063,Richmond upon Thames,DT,63,"High Street, Whitton ( nr Tescos)",,514188,173801,51.451688,-0.358067,NO2,,,,,
RDT064,Richmond upon Thames,DT,64,"High Street, Hampton Hill (nr Tescos)",,514484,171251,51.42871,-0.354633,NO2,,,,,
RDT065,Richmond upon Thames,DT,65,"York Street, Twickenham",,516339,173366,51.447341,-0.327268,NO2,,,,,
RDT066,Richmond upon Thames,DT,66,"South Circular, Kew Green",,519060,177428,51.483283,-0.286765,NO2,,,,,
RDT067,Richmond upon Thames,DT,67,"Petersham Rd opp Poppy Factory, ",,518042,174095,51.453541,-0.302531,NO2,,,,,
RDT068,Richmond upon Thames,DT,68,"Rocks Lane, SW13.",,522415,176537,51.47456,-0.238781,NO2,,,,,
RDT069,Richmond upon Thames,DT,69,"Uxbridge Rd, nr Longford Cl TW12",,513494,171729,51.433205,-0.368714,NO2,,,,,
RDT070,Richmond upon Thames,DT,70,"Stag Brewery, Lwr Richmond Rd",,520465,175965,51.469838,-0.267039,NO2,,,,,
RDT071,Richmond upon Thames,DT,71,"A316, nr St Stephens Primary ",,516574,174456,51.457089,-0.323529,NO2,,,,,
RDT072,Richmond upon Thames,DT,72,"St Margarets Rd, St Margarets (nr. Crown Rd)",,516839,174238,51.455076,-0.319789,NO2,,,,,
RDT073,Richmond upon Thames,DT,73,"Hospital Bridge Rd, nr Homelink",,513722,172873,51.443441,-0.365069,NO2,,,,,
RDT074,Richmond upon Thames,DT,74,"Lower Richmond Rd, Mortlake (nr. Chalker's Corner)",,519856,175856,51.468987,-0.27584,NO2,,,,,
RDT075,Richmond upon Thames,DT,75,Hampton Rd (opp Tedd Mem Hosp),,515459,171029,51.426517,-0.340687,NO2,,,,,
RDT076,Richmond upon Thames,DT,76,"Manor Rd, nr Ferry Rd, TW11",,516588,171357,51.429234,-0.324348,NO2,,,,,
RDT077,Richmond upon Thames,DT,77,"Sixth Cross Rd, nr Wellington Rd,TW2",,514705,172092,51.436224,-0.351183,NO2,,,,,
RDT079,Richmond upon Thames,DT,79,"South St, outside Lidl, TW2 5NJ",,514810,172041,51.435744,-0.34969,NO2,,,,,
RDT080,Richmond upon Thames,DT,80,"Mortlake High St, SW14",,520538,175926,51.469472,-0.266002,NO2,,,,,
RDT081,Richmond upon Thames,DT,81,"Chertsey Ct (A316), ",,519912,175939,51.469721,-0.275006,NO2,,,,,
RDT082,Richmond upon Thames,DT,82,Twickenham station development,,516060,173708,51.450472,-0.331169,NO2,,,,,
RDT083,Richmond upon Thames,DT,83,"Thames St, Hampton, nr Plevna Rd, TW12 ",,513811,169510,51.413197,-0.364868,NO2,,,,,
RDT084,Richmond upon Thames,DT,84,"Queens Rd,Richmond (nr Christs School)",,513872,169518,51.413257,-0.363989,NO2,,,,,
RDT085,Richmond upon Thames,DT,85,Richmond bus garage,,517911,174737,51.459338,-0.304201,NO2,,,,,
RDTRU1,Richmond upon Thames,DT,Rut  01,"Civic Centre, York St, Twickenham",,516415,173419,51.447802,-0.326158,NO2,,,,,
RDTRU2,Richmond upon Thames,DT,Rut  02,"George Street, Richmond",,517917,174928,51.461054,-0.304051,NO2,,,,,
WDTPY1,Wandsworth,DT,PY1 ,Lower Richmond Road (LRR) Star & Gartar,,524014,175716,51.466834,-0.216057,NO2,,,,,
WDTPY2,Wandsworth,DT,PY2,Putney Highstreet (PHS) Outside Odeon,,524138,175545,51.46527,-0.214333,NO2,,,,,
WDTPY3,Wandsworth,DT,PY3,Putney Bridge Road (PBR) East of Burstock,,524167,175455,51.464455,-0.213947,NO2,,,,,
WDTPY4,Wandsworth,DT,PY4,Putney Highstreet (PHS) Simmons,,524116,175528,51.465122,-0.214656,NO2,,,,,
WDTPY5,Wandsworth,DT,PY5,Chelverton Road Bus Garage,,523965,175226,51.462441,-0.216934,NO2,,,,,
WDTPY6,Wandsworth,DT,PY6,URR Putney Hotel,,523874,175070,51.461059,-0.218298,NO2,,,,,
WDTPY7,Wandsworth,DT,PY7 ,URR outside Kinleigh Folkard & Hayward,,523958,175014,51.460537,-0.217109,NO2,,,,,
WDTPY8,Wandsworth,DT,PY8,Putney High St / Disraeli Rd,,523996,175141,51.46167,-0.216518,NO2,,,,,
WDTW58,Wandsworth,DT,W58,Putney Bridge Road,,527121,174640,51.456475,-0.171739,NO2,,,,,
WDTW59,Wandsworth,DT,W59,Battersea Bridge Road/Hester Road (Royal Collage of Arts Battersea),,527121,177209,51.479563,-0.170816,NO2,,,,,
WDTW60,Wandsworth,DT,W60,South Circular Road/Southside shopping,,525554,174655,51.456959,-0.194275,NO2,,,,,
WDTW61,Wandsworth,DT,W61,South Circular Road/Frogmore,,525477,174839,51.45863,-0.195318,NO2,,,,,
WDTW62,Wandsworth,DT,W62,Eardley Road,,529458,170962,51.422893,-0.139465,NO2,,,,,
WDTW63,Wandsworth,DT,W63,Westcote Road,,529334,171092,51.424089,-0.1412,NO2,,,,,
WDTLR2,Wandsworth,DT,LR2,Weiss Road,,523741,175637,51.466184,-0.220013,NO2,,,,,
RDT087,Richmond upon Thames,DT,87,East Sheen Primary School,,521315,175461,51.465127,-0.25498057,NO2,,2.5,2.2,,
RDT105,Richmond upon Thames,DT,105,"Park Rd, Hampton Hill",,514476,171310,51.429241,-0.35472904,NO2,,0.7,2.2,,
RDTP11,Richmond upon Thames,DT,RP11,Hampton Ct Rd (nr Kingston),,517456,169342,51.410944,-0.312535,NO2,,0.9,2.3,,
RDTP12,Richmond upon Thames,DT,RP12,Thames Motor Yatch,,515371,168705,51.405647,-0.34270781,NO2,,0.8,2.4,,
