sID,borough,type,siteCode,siteName,classification,easting,northing,latitude,longitude,pollutants,distance_to_exposute,distance_to_kerb,height,linked,startDate
MBL232,Merton,BL,CLDP0232,Chilmark Rd,Roadside,529795,169554,51.41016,-0.13513,"NO2, PM25, PM10",N/A,N/A,N/A,,02-Dec-21
MBL233,Merton,BL,CLDP0233,Morden Primary School,Roadside,525176,167429,51.392105,-0.202256,"NO2, PM25, PM10",N/A,N/A,N/A,,02-Dec-21
MBL234,Merton,BL,CLDP0234,Commonside E,Roadside,529297,168168,51.39782,-0.14279,"NO2, PM25, PM10",N/A,N/A,N/A,,02-Dec-21
MBL235,Merton,BL,CLDP0235,South Gardens,Roadside,526808,170281,51.417374,-0.177794,"NO2, PM25, PM10",N/A,N/A,N/A,,02-Dec-21
MBL236,Merton,BL,CLDP0236,Burlington Rd,Roadside,522604,174039,51.452065,-0.23692,"NO2, PM25, PM10",N/A,N/A,N/A,,02-Dec-21
MBL237,Merton,BL,CLDP0237,Malmesbury Rd,Roadside,526253,167042,51.38839,-0.18693,"NO2, PM25, PM10",N/A,N/A,N/A,,02-Dec-21
MBL238,Merton,BL,CLDP0238,Wates Way,Roadside,528037,167062,51.388165,-0.161295,"NO2, PM25, PM10",N/A,N/A,N/A,,02-Dec-21
MBL239,Merton,BL,CLDP0239,Croydon Rd,Roadside,529842,167451,51.391251,-0.135225,"NO2, PM25, PM10",N/A,N/A,N/A,,02-Dec-21
MBL240,Merton,BL,CLDP0240,Streatham Road/Links Rd,Roadside,528803,170420,51.418171,-0.14907,"NO2, PM25, PM10",N/A,N/A,N/A,,18-Feb-22
MBL241,Merton,BL,CLDP0241,Martin Way-B286,Roadside,524374,168685,51.403568,-0.21334,"NO2, PM25, PM10",N/A,N/A,N/A,,02-Dec-21
MBL242,Merton,BL,CLDP0242,Carshalton Rd,Roadside,528182,167831,51.395042,-0.158932,"NO2, PM25, PM10",N/A,N/A,N/A,,02-Dec-21
MBL243,Merton,BL,CLDP0243,Plough Ln,Roadside,526201,171695,51.430218,-0.186029,"NO2, PM25, PM10",N/A,N/A,N/A,,02-Dec-21
MBL244,Merton,BL,CLDP0244,Sandy Ln,Roadside,528271,169755,51.412319,-0.15697,"NO2, PM25, PM10",N/A,N/A,N/A,,02-Dec-21
MBL245,Merton,BL,CLDP0245,Benedict Road,Roadside,526978,168691,51.403042,-0.17593,"NO2, PM25, PM10",N/A,N/A,N/A,,02-Dec-21
MBL246,Merton,BL,CLDP0246,Bushey Rd,Roadside,522986,168936,51.40612,-0.233208,"NO2, PM25, PM10",N/A,N/A,N/A,,10-Feb-22
MBL247,Merton,BL,CLDP0247,Merton Rd,Roadside,525796,170156,51.416473,-0.192385,"NO2, PM25, PM10",N/A,N/A,N/A,,03-Dec-21
MBL248,Merton,BL,CLDP0248,Burlington Rd,Roadside,522741,168520,51.402439,-0.23687,"NO2, PM25, PM10",N/A,N/A,N/A,,03-Dec-21
MBL249,Merton,BL,CLDP0249,Durnsford Rd,Roadside,525416,172785,51.440186,-0.196923,"NO2, PM25, PM10",N/A,N/A,N/A,,03-Dec-21
MBL250,Merton,BL,CLDP0250,Kingston Rd,Roadside,524250,169273,51.408875,-0.214916,"NO2, PM25, PM10",N/A,N/A,N/A,,03-Dec-21
MBL251,Merton,BL,CLDP0251,Wimbledon High St,Roadside,524122,171014,51.424553,-0.216155,"NO2, PM25, PM10",N/A,N/A,N/A,,03-Dec-21
MBL252,Merton,BL,CLDP0252,Church Rd,Roadside,524293,172488,51.437763,-0.213182,"NO2, PM25, PM10",N/A,N/A,N/A,,03-Dec-21
MBL253,Merton,BL,CLDP0253,Parkside,Roadside,523525,172475,51.437813,-0.224223,"NO2, PM25, PM10",N/A,N/A,N/A,,03-Dec-21
MBL254,Merton,BL,CLDP0254,Park Community School,Roadside,525776,169206,51.40794,-0.193012,"NO2, PM25, PM10",N/A,N/A,N/A,,03-Dec-21
MBL255,Merton,BL,CLDP0255,The Broadway,Roadside,524923,170582,51.420494,-0.204791,"NO2, PM25, PM10",N/A,N/A,N/A,,03-Dec-21
MBL256,Merton,BL,CLDP0256,Coombe Ln,Roadside,522243,169633,51.412548,-0.243632,"NO2, PM25, PM10",N/A,N/A,N/A,,03-Dec-21
MBL257,Merton,BL,CLDP0257,Southey Rd,Roadside,525430,170251,51.417412,-0.197623,"NO2, PM25, PM10",N/A,N/A,N/A,,03-Dec-21
MBL258,Merton,BL,CLDP0258,Wimbledon High School,Roadside,524288,170989,51.42429,-0.213779,"NO2, PM25, PM10",N/A,N/A,N/A,,03-Dec-21
MBL259,Merton,BL,CLDP0259,Lake Rd,Roadside,524817,171334,51.42728,-0.206044,"NO2, PM25, PM10",N/A,N/A,N/A,,03-Dec-21
