siteCode,siteName,borough,latitude,longitude,averaging_period,date,pollutant,value
ME2,"Merton Road, South Wimbledon",Merton,,,Month,2016-06-01,PM10,18.4
ME2,"Merton Road, South Wimbledon",Merton,,,Month,2016-07-01,PM10,14.2
ME2,"Merton Road, South Wimbledon",Merton,,,Month,2016-08-01,PM10,19.6
ME2,"Merton Road, South Wimbledon",Merton,,,Month,2016-09-01,PM10,21.6
ME2,"Merton Road, South Wimbledon",Merton,,,Month,2016-10-01,PM10,26.3
ME2,"Merton Road, South Wimbledon",Merton,,,Month,2016-11-01,PM10,27.5
ME2,"Merton Road, South Wimbledon",Merton,,,Year,2017-01-01,PM10,24.0
ME2,"Merton Road, South Wimbledon",Merton,,,Month,2017-02-01,PM10,31.8
ME2,"Merton Road, South Wimbledon",Merton,,,Month,2017-03-01,PM10,26.8
ME2,"Merton Road, South Wimbledon",Merton,,,Month,2017-04-01,PM10,25.2
ME2,"Merton Road, South Wimbledon",Merton,,,Month,2017-05-01,PM10,30.9
ME2,"Merton Road, South Wimbledon",Merton,,,Month,2017-06-01,PM10,23.2
ME2,"Merton Road, South Wimbledon",Merton,,,Month,2017-07-01,PM10,19.1
ME2,"Merton Road, South Wimbledon",Merton,,,Month,2017-08-01,PM10,18.8
ME2,"Merton Road, South Wimbledon",Merton,,,Month,2017-09-01,PM10,20.4
ME2,"Merton Road, South Wimbledon",Merton,,,Month,2017-10-01,PM10,21.2
ME2,"Merton Road, South Wimbledon",Merton,,,Month,2017-11-01,PM10,24.6
ME2,"Merton Road, South Wimbledon",Merton,,,Month,2017-12-01,PM10,24.4
ME2,"Merton Road, South Wimbledon",Merton,,,Year,2018-01-01,PM10,32.0
ME2,"Merton Road, South Wimbledon",Merton,,,Month,2018-02-01,PM10,27.9
ME2,"Merton Road, South Wimbledon",Merton,,,Month,2018-03-01,PM10,31.4
ME2,"Merton Road, South Wimbledon",Merton,,,Month,2018-04-01,PM10,35.4
ME2,"Merton Road, South Wimbledon",Merton,,,Month,2018-05-01,PM10,38.1
ME2,"Merton Road, South Wimbledon",Merton,,,Month,2018-06-01,PM10,31.0
ME2,"Merton Road, South Wimbledon",Merton,,,Month,2018-10-01,PM10,23.6
ME2,"Merton Road, South Wimbledon",Merton,,,Month,2018-11-01,PM10,35.3
ME2,"Merton Road, South Wimbledon",Merton,,,Month,2018-12-01,PM10,28.1
ME2,"Merton Road, South Wimbledon",Merton,,,Year,2019-01-01,PM10,28.0
ME2,"Merton Road, South Wimbledon",Merton,,,Month,2019-01-01,PM10,30.1
ME2,"Merton Road, South Wimbledon",Merton,,,Month,2019-02-01,PM10,36.5
ME2,"Merton Road, South Wimbledon",Merton,,,Month,2019-03-01,PM10,26.3
ME2,"Merton Road, South Wimbledon",Merton,,,Month,2019-04-01,PM10,40.7
